        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202604261800,   0.390,   1.630,   1.100,   0.140,   1.630,   1.000,   1.530,   1.300,   1.830
202604261806,   0.423,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604261812,   0.465,   1.630,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604261818,   0.516,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604261824,   0.575,   1.659,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604261830,   0.641,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604261836,   0.715,   1.738,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604261842,   0.795,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604261848,   0.881,   1.879,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604261854,   0.972,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604261900,   1.068,   2.040,   1.100,  -0.128,   2.040,   1.100,   2.040,   1.300,   2.240
202604261906,   1.168,   2.128,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604261912,   1.272,   2.240,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604261918,   1.378,   2.338,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604261924,   1.488,   2.459,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604261930,   1.599,   2.587,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604261936,   1.712,   2.709,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604261942,   1.827,   2.830,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604261948,   1.942,   2.968,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604261954,   2.059,   3.099,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604262000,   2.176,   3.240,   1.200,  -0.136,   3.240,   1.100,   3.140,   1.300,   3.340
202604262006,   2.294,   3.368,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604262012,   2.412,   3.509,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604262018,   2.530,   3.637,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
